Cluster no	No	Hit	Prob	E-value	P-value	Score	SS	Cols	Query HMM	Template HMM	lefts
PPQ76078	1	PF17100.5 ; NACHT_N ; N-termin	98.0	1.5e-09	2.9e-13	89.8	0.0	134	102-238	79-226 (229)	[102, 238]
PPQ76078	2	PF17109.5 ; Goodbye ; fungal S	96.6	2.5e-06	4.8e-10	62.2	0.0	73	100-172	50-123 (123)	[100, 172]
PPQ76078	3	PF00931.22 ; NB-ARC ; NB-ARC d	96.5	4.8e-06	9.5e-10	65.5	0.0	65	293-359	3-73  (240)	[293, 359]
PPQ76078	4	PF05621.11 ; TniB ; Bacterial	96.4	5.400000000000001e-06	1.1e-09	63.1	0.0	46	290-336	16-61  (191)	[290, 336]
PPQ76078	5	PF01637.18 ; ATPase_2 ; ATPase	96.3	8.5e-06	1.7000000000000001e-09	62.6	0.0	43	290-336	4-46  (209)	[290, 336]
PPQ76078	6	PF07693.14 ; KAP_NTPase ; KAP	96.2	1.3000000000000001e-05	2.6e-09	66.1	0.0	48	290-337	1-58  (307)	[290, 337]
PPQ76078	7	PF00308.18 ; Bac_DnaA ; Bacter	96.1	1.8e-05	3.5e-09	61.2	0.0	46	287-335	13-58  (219)	[287, 335]
PPQ76078	8	PF13191.6 ; AAA_16 ; AAA ATPas	95.9	2.7000000000000002e-05	5.4e-09	58.6	0.0	47	290-337	5-51  (189)	[290, 337]
PPQ76078	9	PF06309.11 ; Torsin ; Torsin	95.9	2.8000000000000003e-05	5.4e-09	55.2	0.0	44	292-336	35-78  (126)	[292, 336]
PPQ76078	10	PF07931.12 ; CPT ; Chloramphen	95.9	2.9999999999999997e-05	5.9e-09	57.5	0.0	26	311-336	2-27  (163)	[311, 336]
XP_018696811	1	PF17100.5 ; NACHT_N ; N-termin	99.6	1e-19	1.9e-23	153.6	0.0	147	104-253	80-228 (229)	[104, 253]
XP_018696811	2	PF17109.5 ; Goodbye ; fungal S	98.8	2.6e-13	4.7e-17	101.0	0.0	115	57-174	1-123 (123)	[57, 174]
XP_018696811	3	PF01637.18 ; ATPase_2 ; ATPase	95.7	5e-05	9.3e-09	58.1	0.0	38	357-394	10-47  (209)	[357, 394]
XP_018696811	4	PF05729.12 ; NACHT ; NACHT dom	95.6	5.9999999999999995e-05	1.1000000000000001e-08	55.4	0.0	28	368-395	1-28  (170)	[368, 395]
XP_018696811	5	PF00931.22 ; NB-ARC ; NB-ARC d	95.5	8.7e-05	1.6e-08	57.9	0.0	37	357-393	6-44  (240)	[357, 393]
XP_018696811	6	PF05621.11 ; TniB ; Bacterial	95.3	0.00011999999999999999	2.2999999999999998e-08	54.9	0.0	29	366-394	34-62  (191)	[366, 394]
XP_018696811	7	PF13238.6 ; AAA_18 ; AAA domai	95.2	0.00015	2.7e-08	49.3	0.0	22	370-391	1-22  (108)	[370, 391]
XP_018696811	8	PF13671.6 ; AAA_33 ; AAA domai	95.1	0.00016	3e-08	51.5	0.0	24	369-392	1-24  (142)	[369, 392]
XP_018696811	9	PF07931.12 ; CPT ; Chloramphen	95.1	0.00018	3.3e-08	52.8	0.0	25	368-392	2-26  (163)	[368, 392]
XP_018696811	10	PF18751.1 ; Ploopntkinase3 ; P	95.0	0.00018999999999999998	3.5e-08	54.0	0.0	26	367-392	3-28  (187)	[367, 392]
OBZ65626	1	PF17111.5 ; Helo_like_N ; Fung	95.1	0.00016999999999999999	3e-08	50.8	0.0	128	71-211	13-145 (209)	[71, 211]
OBZ65626	2	PF13191.6 ; AAA_16 ; AAA ATPas	95.0	0.00022	4e-08	48.5	0.0	35	259-295	5-40  (189)	[259, 295]
